Designator,Mid X,Mid Y,Rotation,Layer
,181.5846,-108.5342,0.0,top
C1,191.0,-108.45,180.0,top
C10,188.468,-105.545,90.0,top
C11,181.4,-108.05,90.0,top
C12,190.675,-112.65,270.0,top
C13,181.175,-112.525,270.0,top
C14,187.16,-116.7,270.0,top
C15,190.2968,-105.545,90.0,top
C16,189.3824,-105.545,90.0,top
C2,184.406,-116.7,90.0,top
C3,186.24,-116.7,90.0,top
C4,190.75,-104.175,180.0,top
C5,184.8,-105.54135,90.0,top
C6,185.724,-105.545,90.0,top
C7,188.064,-116.7,270.0,top
C8,187.5536,-105.545,90.0,top
C9,186.6392,-105.545,90.0,top
CN1,186.275,-103.4875,180.0,bottom
CN2,186.275,-97.3,0.0,bottom
CN3,186.2,-125.6374,0.0,bottom
CN4,186.275,-118.69,0.0,bottom
R1,183.875,-103.65,90.0,top
R10,186.224,-126.8154,90.0,top
R11,188.2306,-126.8154,90.0,top
R2,183.875,-105.525,90.0,top
R3,187.0,-97.925,0.0,top
R4,185.14,-97.925,180.0,top
R5,185.32,-116.675,90.0,top
R6,182.2,-97.2,270.0,top
R7,190.375,-97.2,270.0,top
SW18,182.445,-118.51,270.0,top
SW19,186.925,-103.175,0.0,top
SW20,190.025,-118.52,90.0,top
U1,190.97,-107.38,270.0,top
U2,182.375,-104.475,90.0,top
U3,185.974,-111.29565,0.0,top
USB1,186.275,-94.2775,180.0,top
USB_HOST,186.2264,-131.7666,0.0,top
Y1,186.22,-119.325,180.0,top
